eventType,timestamp,orderId,orderLineNumber,customerId,loyaltyId,email,channel,productId,productName,productCategory,productBrand,quantity,unitPrice,lineTotal,currency,paymentMethod,salesAssociate,promoCode,purchasesValue,orderPriceTotal
commerce.purchases,2025-03-22T00:10:02.773Z,OFF-00800007,2,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,popup-monaco,EXP-PIT-LANE,Pit Lane Walk,Experiences,F1,2,499,998,USD,google_pay,SA-001,,0,
commerce.purchases,2025-10-15T12:36:45.196Z,OFF-00800008,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,popup-silverstone,PKG-PADDOCK-CLUB,Paddock Club VIP Package,Hospitality,F1,1,4999,4999,USD,debit_card,SA-298,,1,4999
commerce.purchases,2025-04-13T20:56:13.111Z,OFF-00800009,1,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,phone,FER-MOD-24,SF-24 1:18 Scale Model,Collectibles,Ferrari,1,289.99,289.99,USD,credit_card,SA-117,VIP25,1,369.98
commerce.purchases,2025-04-13T20:56:13.111Z,OFF-00800009,2,CRM-00100000,LYL-00200000,rf1-w16-s35-vip-0-cee93f@f1traffic.com,phone,MER-PLO-2024,Team Polo Shirt,Apparel,Mercedes,1,79.99,79.99,USD,credit_card,SA-117,VIP25,0,
commerce.purchases,2025-02-07T12:29:22.919Z,OFF-00800010,1,CRM-00100001,LYL-00200001,rf1-w7-s50-standard-1-38d876@f1traffic.com,store-london,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,2,45,90,USD,loyalty_points,online,GOLD15,1,90
commerce.purchases,2026-02-19T13:15:23.141Z,OFF-00800011,1,CRM-00100001,LYL-00200001,rf1-w7-s50-standard-1-38d876@f1traffic.com,store-london,RB-CAP-MV1,Verstappen Cap,Accessories,Red Bull,1,39.99,39.99,USD,credit_card,SA-203,,1,938.99
commerce.purchases,2026-02-19T13:15:23.141Z,OFF-00800011,2,CRM-00100001,LYL-00200001,rf1-w7-s50-standard-1-38d876@f1traffic.com,store-london,EXP-DRIVER-MG,Driver Meet & Greet,Experiences,F1,1,899,899,USD,credit_card,SA-203,,0,
commerce.purchases,2026-03-01T16:57:15.976Z,OFF-00800012,1,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,popup-silverstone,RB-JKT-2024,2024 Team Jacket,Apparel,Red Bull,1,159.99,159.99,USD,apple_pay,SA-203,,1,361.97
commerce.purchases,2026-03-01T16:57:15.976Z,OFF-00800012,2,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,popup-silverstone,MER-PLO-2024,Team Polo Shirt,Apparel,Mercedes,2,79.99,159.98,USD,apple_pay,SA-203,,0,
commerce.purchases,2026-03-01T16:57:15.976Z,OFF-00800012,3,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,popup-silverstone,MER-CAP-LH44,Hamilton Cap,Accessories,Mercedes,1,42,42,USD,apple_pay,SA-203,,0,
commerce.purchases,2026-06-02T03:54:44.749Z,OFF-00800013,1,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,phone,MER-CAP-LH44,Hamilton Cap,Accessories,Mercedes,2,42,84,USD,loyalty_points,SA-117,,1,84
commerce.purchases,2026-05-03T00:11:59.558Z,OFF-00800014,1,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,store-milan,FER-JKT-2024,Scuderia Team Jacket,Apparel,Ferrari,1,179.99,179.99,USD,apple_pay,SA-042,VIP25,1,224.99
commerce.purchases,2026-05-03T00:11:59.558Z,OFF-00800014,2,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,store-milan,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,1,45,45,USD,apple_pay,SA-042,VIP25,0,
commerce.purchases,2025-04-22T07:37:54.969Z,OFF-00800015,1,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,store-mumbai,MER-PLO-2024,Team Polo Shirt,Apparel,Mercedes,1,79.99,79.99,USD,apple_pay,SA-001,,1,748.98
commerce.purchases,2025-04-22T07:37:54.969Z,OFF-00800015,2,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,store-mumbai,MCL-JKT-2024,Papaya Team Jacket,Apparel,McLaren,1,169.99,169.99,USD,apple_pay,SA-001,,0,
commerce.purchases,2025-04-22T07:37:54.969Z,OFF-00800015,3,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,store-mumbai,EXP-PIT-LANE,Pit Lane Walk,Experiences,F1,1,499,499,USD,apple_pay,SA-001,,0,
commerce.purchases,2026-04-16T22:03:14.624Z,OFF-00800016,1,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,store-newyork,MER-CAP-LH44,Hamilton Cap,Accessories,Mercedes,2,42,84,USD,debit_card,SA-298,,1,84
commerce.purchases,2025-12-29T08:20:05.059Z,OFF-00800017,1,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,catalog,MCL-MOD-38,MCL38 1:18 Scale Model,Collectibles,McLaren,1,249.99,249.99,USD,apple_pay,SA-001,SUMMER20,1,847.99
commerce.purchases,2025-12-29T08:20:05.059Z,OFF-00800017,2,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,catalog,TICKET-SILV-GA,Silverstone GA,Tickets,F1,2,299,598,USD,apple_pay,SA-001,SUMMER20,0,
commerce.purchases,2025-02-28T13:32:06.333Z,OFF-00800018,1,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,store-london,TICKET-SILV-GA,Silverstone GA,Tickets,F1,1,299,299,USD,loyalty_points,online,,1,568.99
commerce.purchases,2025-02-28T13:32:06.333Z,OFF-00800018,2,CRM-00100002,LYL-00200002,rf1-w1-s10-gold-2-60c856@f1traffic.com,store-london,RB-MOD-20,RB20 1:18 Scale Model,Collectibles,Red Bull,1,269.99,269.99,USD,loyalty_points,online,,0,
commerce.purchases,2025-01-05T20:51:23.513Z,OFF-00800019,1,CRM-00100003,LYL-00200003,rf1-w6-s31-standard-3-d16087@f1traffic.com,catalog,MCL-MOD-38,MCL38 1:18 Scale Model,Collectibles,McLaren,2,249.99,499.98,USD,apple_pay,SA-298,,1,499.98
commerce.purchases,2025-01-11T07:35:01.994Z,OFF-00800020,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-milan,FER-MOD-24,SF-24 1:18 Scale Model,Collectibles,Ferrari,2,289.99,579.98,USD,loyalty_points,SA-298,SUMMER20,1,1078.98
commerce.purchases,2025-01-11T07:35:01.994Z,OFF-00800020,2,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-milan,EXP-PIT-LANE,Pit Lane Walk,Experiences,F1,1,499,499,USD,loyalty_points,SA-298,SUMMER20,0,
commerce.purchases,2025-04-10T08:43:56.537Z,OFF-00800021,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,popup-monaco,PKG-PADDOCK-CLUB,Paddock Club VIP Package,Hospitality,F1,2,4999,9998,USD,apple_pay,SA-203,GOLD15,1,9998
commerce.purchases,2026-01-05T20:03:01.823Z,OFF-00800022,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-newyork,FER-JKT-2024,Scuderia Team Jacket,Apparel,Ferrari,1,179.99,179.99,USD,debit_card,SA-001,,1,777.99
commerce.purchases,2026-01-05T20:03:01.823Z,OFF-00800022,2,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-newyork,TICKET-SILV-GA,Silverstone GA,Tickets,F1,2,299,598,USD,debit_card,SA-001,,0,
commerce.purchases,2026-02-01T11:08:45.206Z,OFF-00800023,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-newyork,MCL-MOD-38,MCL38 1:18 Scale Model,Collectibles,McLaren,2,249.99,499.98,USD,debit_card,SA-298,,1,1558.97
commerce.purchases,2026-02-01T11:08:45.206Z,OFF-00800023,2,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-newyork,EXP-DRIVER-MG,Driver Meet & Greet,Experiences,F1,1,899,899,USD,debit_card,SA-298,,0,
commerce.purchases,2026-02-01T11:08:45.206Z,OFF-00800023,3,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-newyork,RB-JKT-2024,2024 Team Jacket,Apparel,Red Bull,1,159.99,159.99,USD,debit_card,SA-298,,0,
commerce.purchases,2025-12-22T21:56:58.232Z,OFF-00800024,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,phone,MCL-JKT-2024,Papaya Team Jacket,Apparel,McLaren,2,169.99,339.98,USD,debit_card,N/A,,1,718.97
commerce.purchases,2025-12-22T21:56:58.232Z,OFF-00800024,2,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,phone,TICKET-SILV-GA,Silverstone GA,Tickets,F1,1,299,299,USD,debit_card,N/A,,0,
commerce.purchases,2025-12-22T21:56:58.232Z,OFF-00800024,3,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,phone,MER-PLO-2024,Team Polo Shirt,Apparel,Mercedes,1,79.99,79.99,USD,debit_card,N/A,,0,
commerce.purchases,2025-03-19T07:53:19.437Z,OFF-00800025,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-london,PKG-PADDOCK-CLUB,Paddock Club VIP Package,Hospitality,F1,1,4999,4999,USD,loyalty_points,online,SUMMER20,1,5498.98
commerce.purchases,2025-03-19T07:53:19.437Z,OFF-00800025,2,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-london,MCL-MOD-38,MCL38 1:18 Scale Model,Collectibles,McLaren,2,249.99,499.98,USD,loyalty_points,online,SUMMER20,0,
commerce.purchases,2026-01-29T13:48:18.036Z,OFF-00800026,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,popup-monaco,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,1,45,45,USD,google_pay,SA-203,,1,45
commerce.purchases,2026-05-31T11:56:59.910Z,OFF-00800027,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-mumbai,EXP-DRIVER-MG,Driver Meet & Greet,Experiences,F1,2,899,1798,USD,debit_card,SA-001,SUMMER20,1,2137.98
commerce.purchases,2026-05-31T11:56:59.910Z,OFF-00800027,2,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,store-mumbai,MCL-JKT-2024,Papaya Team Jacket,Apparel,McLaren,2,169.99,339.98,USD,debit_card,SA-001,SUMMER20,0,
commerce.purchases,2026-02-18T01:18:22.944Z,OFF-00800028,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,phone,PKG-PADDOCK-CLUB,Paddock Club VIP Package,Hospitality,F1,2,4999,9998,USD,cash,SA-117,,1,9998
commerce.purchases,2024-12-29T17:38:05.871Z,OFF-00800029,1,CRM-00100004,LYL-00200004,rf1-w15-s1-vip-4-f768e9@f1traffic.com,phone,MCL-JKT-2024,Papaya Team Jacket,Apparel,McLaren,2,169.99,339.98,USD,apple_pay,SA-001,,1,339.98
commerce.purchases,2026-02-28T11:17:14.203Z,OFF-00800030,1,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,popup-monaco,EXP-PIT-LANE,Pit Lane Walk,Experiences,F1,2,499,998,USD,debit_card,SA-001,,1,998
commerce.purchases,2025-07-31T03:50:29.449Z,OFF-00800031,1,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,phone,MCL-CAP-LN4,Norris Cap,Accessories,McLaren,1,38,38,USD,google_pay,SA-298,,1,117.98
commerce.purchases,2025-07-31T03:50:29.449Z,OFF-00800031,2,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,phone,RB-CAP-MV1,Verstappen Cap,Accessories,Red Bull,2,39.99,79.98,USD,google_pay,SA-298,,0,
commerce.purchases,2025-03-24T05:26:09.093Z,OFF-00800032,1,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,catalog,FER-JKT-2024,Scuderia Team Jacket,Apparel,Ferrari,1,179.99,179.99,USD,loyalty_points,SA-001,,1,179.99
commerce.purchases,2026-03-23T06:31:58.166Z,OFF-00800033,1,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,store-mumbai,EXP-PIT-LANE,Pit Lane Walk,Experiences,F1,2,499,998,USD,credit_card,SA-001,,1,1157.98
commerce.purchases,2026-03-23T06:31:58.166Z,OFF-00800033,2,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,store-mumbai,MER-PLO-2024,Team Polo Shirt,Apparel,Mercedes,2,79.99,159.98,USD,credit_card,SA-001,,0,
commerce.purchases,2025-10-18T10:06:42.401Z,OFF-00800034,1,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,phone,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,2,45,90,USD,loyalty_points,SA-298,RACE2024,1,428.99
commerce.purchases,2025-10-18T10:06:42.401Z,OFF-00800034,2,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,phone,TICKET-SILV-GA,Silverstone GA,Tickets,F1,1,299,299,USD,loyalty_points,SA-298,RACE2024,0,
commerce.purchases,2025-10-18T10:06:42.401Z,OFF-00800034,3,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,phone,RB-CAP-MV1,Verstappen Cap,Accessories,Red Bull,1,39.99,39.99,USD,loyalty_points,SA-298,RACE2024,0,
commerce.purchases,2025-04-14T22:35:02.120Z,OFF-00800035,1,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,popup-monaco,MCL-JKT-2024,Papaya Team Jacket,Apparel,McLaren,2,169.99,339.98,USD,apple_pay,N/A,RACE2024,1,339.98
commerce.purchases,2025-01-16T16:44:01.886Z,OFF-00800036,1,CRM-00100005,LYL-00200005,rf1-w2-s19-gold-5-0bb4ab@f1traffic.com,phone,RB-JKT-2024,2024 Team Jacket,Apparel,Red Bull,1,159.99,159.99,USD,cash,SA-298,,1,159.99
commerce.purchases,2026-03-02T12:43:06.650Z,OFF-00800037,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,store-mumbai,TICKET-SILV-GA,Silverstone GA,Tickets,F1,1,299,299,USD,debit_card,SA-117,,1,299
commerce.purchases,2026-03-26T05:17:46.117Z,OFF-00800038,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,store-london,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,2,45,90,USD,apple_pay,SA-001,,1,709.97
commerce.purchases,2026-03-26T05:17:46.117Z,OFF-00800038,2,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,store-london,RB-CAP-MV1,Verstappen Cap,Accessories,Red Bull,1,39.99,39.99,USD,apple_pay,SA-001,,0,
commerce.purchases,2026-03-26T05:17:46.117Z,OFF-00800038,3,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,store-london,FER-MOD-24,SF-24 1:18 Scale Model,Collectibles,Ferrari,2,289.99,579.98,USD,apple_pay,SA-001,,0,
commerce.purchases,2025-06-04T14:01:16.971Z,OFF-00800039,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,phone,RB-JKT-2024,2024 Team Jacket,Apparel,Red Bull,2,159.99,319.98,USD,cash,SA-117,SAVE10,1,444.96
commerce.purchases,2025-06-04T14:01:16.971Z,OFF-00800039,2,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,phone,RB-CAP-MV1,Verstappen Cap,Accessories,Red Bull,2,39.99,79.98,USD,cash,SA-117,SAVE10,0,
commerce.purchases,2025-06-04T14:01:16.971Z,OFF-00800039,3,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,phone,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,1,45,45,USD,cash,SA-117,SAVE10,0,
commerce.purchases,2025-11-22T18:30:16.736Z,OFF-00800040,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,store-mumbai,MCL-CAP-LN4,Norris Cap,Accessories,McLaren,1,38,38,USD,credit_card,SA-298,,1,537.98
commerce.purchases,2025-11-22T18:30:16.736Z,OFF-00800040,2,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,store-mumbai,MCL-MOD-38,MCL38 1:18 Scale Model,Collectibles,McLaren,2,249.99,499.98,USD,credit_card,SA-298,,0,
commerce.purchases,2025-11-03T04:57:14.232Z,OFF-00800041,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,catalog,RB-CAP-MV1,Verstappen Cap,Accessories,Red Bull,1,39.99,39.99,USD,debit_card,SA-042,,1,39.99
commerce.purchases,2025-07-21T00:49:54.422Z,OFF-00800042,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,catalog,PKG-PADDOCK-CLUB,Paddock Club VIP Package,Hospitality,F1,1,4999,4999,USD,google_pay,SA-203,RACE2024,1,4999
commerce.purchases,2025-02-17T20:00:11.657Z,OFF-00800043,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,catalog,RB-MOD-20,RB20 1:18 Scale Model,Collectibles,Red Bull,1,269.99,269.99,USD,credit_card,online,,1,269.99
commerce.purchases,2026-05-15T00:40:41.796Z,OFF-00800044,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,catalog,EXP-PIT-LANE,Pit Lane Walk,Experiences,F1,2,499,998,USD,cash,SA-042,SUMMER20,1,1077.99
commerce.purchases,2026-05-15T00:40:41.796Z,OFF-00800044,2,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,catalog,MER-PLO-2024,Team Polo Shirt,Apparel,Mercedes,1,79.99,79.99,USD,cash,SA-042,SUMMER20,0,
commerce.purchases,2026-04-07T04:24:33.518Z,OFF-00800045,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,phone,TICKET-SILV-GA,Silverstone GA,Tickets,F1,1,299,299,USD,google_pay,N/A,,1,375
commerce.purchases,2026-04-07T04:24:33.518Z,OFF-00800045,2,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,phone,MCL-CAP-LN4,Norris Cap,Accessories,McLaren,2,38,76,USD,google_pay,N/A,,0,
commerce.purchases,2025-04-30T15:23:27.106Z,OFF-00800046,1,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,phone,EXP-DRIVER-MG,Driver Meet & Greet,Experiences,F1,1,899,899,USD,debit_card,N/A,,1,2237.99
commerce.purchases,2025-04-30T15:23:27.106Z,OFF-00800046,2,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,phone,TICKET-MONACO-GS,Monaco GP Grandstand,Tickets,F1,1,1299,1299,USD,debit_card,N/A,,0,
commerce.purchases,2025-04-30T15:23:27.106Z,OFF-00800046,3,CRM-00100006,LYL-00200006,rf1-w19-s59-vip-6-899f5b@f1traffic.com,phone,RB-CAP-MV1,Verstappen Cap,Accessories,Red Bull,1,39.99,39.99,USD,debit_card,N/A,,0,
commerce.purchases,2025-10-13T15:01:38.106Z,OFF-00800047,1,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,popup-monaco,EXP-PIT-LANE,Pit Lane Walk,Experiences,F1,1,499,499,USD,loyalty_points,online,,1,678.99
commerce.purchases,2025-10-13T15:01:38.106Z,OFF-00800047,2,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,popup-monaco,FER-JKT-2024,Scuderia Team Jacket,Apparel,Ferrari,1,179.99,179.99,USD,loyalty_points,online,,0,
commerce.purchases,2025-08-20T20:10:08.005Z,OFF-00800048,1,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,store-mumbai,TICKET-SILV-GA,Silverstone GA,Tickets,F1,1,299,299,USD,google_pay,SA-001,,1,299
commerce.purchases,2025-01-16T11:09:38.868Z,OFF-00800049,1,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,phone,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,1,45,45,USD,credit_card,N/A,VIP25,1,334.99
commerce.purchases,2025-01-16T11:09:38.868Z,OFF-00800049,2,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,phone,FER-MOD-24,SF-24 1:18 Scale Model,Collectibles,Ferrari,1,289.99,289.99,USD,credit_card,N/A,VIP25,0,
commerce.purchases,2025-06-17T18:57:54.615Z,OFF-00800050,1,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,catalog,TICKET-SILV-GA,Silverstone GA,Tickets,F1,2,299,598,USD,debit_card,SA-298,,1,2175.98
commerce.purchases,2025-06-17T18:57:54.615Z,OFF-00800050,2,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,catalog,EXP-PIT-LANE,Pit Lane Walk,Experiences,F1,2,499,998,USD,debit_card,SA-298,,0,
commerce.purchases,2025-06-17T18:57:54.615Z,OFF-00800050,3,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,catalog,FER-MOD-24,SF-24 1:18 Scale Model,Collectibles,Ferrari,2,289.99,579.98,USD,debit_card,SA-298,,0,
commerce.purchases,2025-01-06T08:03:47.744Z,OFF-00800051,1,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,catalog,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,1,45,45,USD,debit_card,N/A,,1,45
commerce.purchases,2025-03-12T15:18:00.123Z,OFF-00800052,1,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,catalog,MCL-MOD-38,MCL38 1:18 Scale Model,Collectibles,McLaren,1,249.99,249.99,USD,google_pay,SA-042,,1,1148.99
commerce.purchases,2025-03-12T15:18:00.123Z,OFF-00800052,2,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,catalog,EXP-DRIVER-MG,Driver Meet & Greet,Experiences,F1,1,899,899,USD,google_pay,SA-042,,0,
commerce.purchases,2026-04-03T04:03:37.889Z,OFF-00800053,1,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,popup-silverstone,MCL-MOD-38,MCL38 1:18 Scale Model,Collectibles,McLaren,2,249.99,499.98,USD,cash,online,,1,589.98
commerce.purchases,2026-04-03T04:03:37.889Z,OFF-00800053,2,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,popup-silverstone,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,2,45,90,USD,cash,online,,0,
commerce.purchases,2026-06-14T07:51:18.837Z,OFF-00800054,1,CRM-00100007,LYL-00200007,rf1-w6-s63-vip-7-7c02ee@f1traffic.com,catalog,FER-CAP-LC16,Leclerc Signature Cap,Accessories,Ferrari,1,45,45,USD,cash,online,,1,5123.99
