loyaltyId,customerId,email,membershipTier,pointsBalance,pointsLifetimeEarned,membershipStartDate,nextTierThresholdPoints,isActive
LYL-00200031,CRM-00100031,rf1-w14-s56-standard-31-b9eb16@f1traffic.com,standard,316,442,2024-07-31,5000,true
LYL-00200032,CRM-00100032,rf1-w6-s65-silver-32-1f3c76@f1traffic.com,silver,1029,1441,2026-03-19,15000,true
LYL-00200033,CRM-00100033,rf1-w0-s73-gold-33-e7eee4@f1traffic.com,gold,3158,4421,2025-11-08,50000,true
LYL-00200034,CRM-00100034,rf1-w15-s20-silver-34-6a6e9e@f1traffic.com,silver,727,1018,2025-11-30,15000,true
LYL-00200035,CRM-00100035,rf1-w15-s49-standard-35-6d7f02@f1traffic.com,standard,164,230,2023-11-25,5000,true
LYL-00200036,CRM-00100036,rf1-w14-s24-silver-36-9db543@f1traffic.com,silver,665,931,2025-03-06,15000,true
LYL-00200037,CRM-00100037,rf1-w9-s46-gold-37-bebd38@f1traffic.com,gold,2849,3989,2025-05-24,50000,true
LYL-00200038,CRM-00100038,rf1-w12-s69-silver-38-ad654a@f1traffic.com,silver,472,661,2024-01-28,15000,true
LYL-00200039,CRM-00100039,rf1-w12-s15-standard-39-32de87@f1traffic.com,standard,182,255,2026-03-04,5000,true
LYL-00200040,CRM-00100040,rf1-w10-s15-standard-40-326b80@f1traffic.com,standard,398,557,2024-10-13,5000,true
LYL-00200041,CRM-00100041,rf1-w14-s58-standard-41-f4ae98@f1traffic.com,standard,135,189,2025-07-18,5000,true
LYL-00200042,CRM-00100042,rf1-w19-s10-silver-42-368e09@f1traffic.com,silver,1218,1705,2024-05-05,15000,true
LYL-00200043,CRM-00100043,rf1-w7-s38-silver-43-80afeb@f1traffic.com,silver,300,420,2025-12-28,15000,true
LYL-00200044,CRM-00100044,rf1-w2-s26-vip-44-1ac3b8@f1traffic.com,vip,5649,7909,2025-08-23,999999,true
LYL-00200045,CRM-00100045,rf1-w1-s11-silver-45-ece989@f1traffic.com,silver,487,682,2025-08-24,15000,true
LYL-00200046,CRM-00100046,rf1-w19-s40-gold-46-6698bf@f1traffic.com,gold,2457,3440,2025-04-26,50000,true
LYL-00200047,CRM-00100047,rf1-w0-s20-standard-47-ac90b5@f1traffic.com,standard,92,129,2025-03-22,5000,true
LYL-00200048,CRM-00100048,rf1-w11-s30-vip-48-fb8aa3@f1traffic.com,vip,5298,7417,2024-04-13,999999,true
LYL-00200049,CRM-00100049,rf1-w13-s3-vip-49-5dbdf5@f1traffic.com,vip,12485,17479,2024-11-04,999999,true
LYL-00200050,CRM-00100050,rf1-w0-s13-silver-50-bd1a6d@f1traffic.com,silver,724,1014,2026-05-20,15000,true
LYL-00200051,CRM-00100051,rf1-w2-s55-standard-51-15c6d7@f1traffic.com,standard,253,354,2025-06-12,5000,true
LYL-00200052,CRM-00100052,rf1-w2-s42-gold-52-4321fa@f1traffic.com,gold,1814,2540,2025-07-22,50000,false
LYL-00200053,CRM-00100053,rf1-w6-s13-silver-53-805afa@f1traffic.com,silver,266,372,2024-07-20,15000,true
LYL-00200054,CRM-00100054,rf1-w15-s22-gold-54-8554a8@f1traffic.com,gold,1986,2780,2025-02-23,50000,true
LYL-00200055,CRM-00100055,rf1-w19-s19-standard-55-f7464e@f1traffic.com,standard,315,441,2025-12-03,5000,true
LYL-00200056,CRM-00100056,rf1-w14-s7-gold-56-fd5649@f1traffic.com,gold,1686,2360,2024-06-24,50000,true
LYL-00200057,CRM-00100057,rf1-w4-s12-standard-57-ac71d4@f1traffic.com,standard,284,398,2023-10-19,5000,true
LYL-00200058,CRM-00100058,rf1-w1-s65-gold-58-0feb4a@f1traffic.com,gold,3195,4473,2025-04-06,50000,true
LYL-00200059,CRM-00100059,rf1-w15-s54-vip-59-180e39@f1traffic.com,vip,7088,9923,2024-08-09,999999,true
LYL-00200060,CRM-00100060,rf1-w8-s69-silver-60-eac0e4@f1traffic.com,silver,1052,1473,2026-05-29,15000,true
LYL-00200061,CRM-00100061,rf1-w6-s67-silver-61-c47d4b@f1traffic.com,silver,844,1182,2024-12-06,15000,true
LYL-00200062,CRM-00100062,rf1-w3-s44-gold-62-8061b4@f1traffic.com,gold,2058,2881,2024-10-06,50000,true
LYL-00200063,CRM-00100063,rf1-w1-s62-gold-63-6d409d@f1traffic.com,gold,3928,5499,2025-01-11,50000,true
LYL-00200064,CRM-00100064,rf1-w2-s18-standard-64-c662a5@f1traffic.com,standard,313,438,2024-06-10,5000,true
LYL-00200065,CRM-00100065,rf1-w13-s17-standard-65-2ce5e5@f1traffic.com,standard,297,416,2025-03-08,5000,true
LYL-00200066,CRM-00100066,rf1-w7-s24-gold-66-a3f77d@f1traffic.com,gold,3669,5137,2025-09-23,50000,true
LYL-00200067,CRM-00100067,rf1-w6-s48-silver-67-364c6b@f1traffic.com,silver,479,671,2025-08-16,15000,true
LYL-00200068,CRM-00100068,rf1-w19-s17-gold-68-c900e8@f1traffic.com,gold,3772,5281,2024-11-15,50000,true
LYL-00200069,CRM-00100069,rf1-w6-s52-gold-69-0b548d@f1traffic.com,gold,2073,2902,2023-12-08,50000,true
LYL-00200070,CRM-00100070,rf1-w8-s31-gold-70-2f93f7@f1traffic.com,gold,3415,4781,2024-01-30,50000,true
LYL-00200071,CRM-00100071,rf1-w1-s27-silver-71-c3fcc1@f1traffic.com,silver,801,1121,2024-12-28,15000,true
LYL-00200072,CRM-00100072,rf1-w18-s24-vip-72-fa77ab@f1traffic.com,vip,11070,15498,2025-04-05,999999,true
LYL-00200073,CRM-00100073,rf1-w4-s32-gold-73-785d75@f1traffic.com,gold,3382,4735,2024-01-30,50000,true
LYL-00200074,CRM-00100074,rf1-w11-s10-gold-74-70d543@f1traffic.com,gold,3439,4815,2025-04-23,50000,true
LYL-00200075,CRM-00100075,rf1-w17-s42-silver-75-7d189b@f1traffic.com,silver,556,778,2024-01-27,15000,true
LYL-00200076,CRM-00100076,rf1-w0-s2-silver-76-7d9e27@f1traffic.com,silver,517,724,2026-05-11,15000,true
LYL-00200077,CRM-00100077,rf1-w6-s31-standard-77-d6d460@f1traffic.com,standard,324,454,2024-07-30,5000,false
LYL-00200078,CRM-00100078,rf1-w1-s55-gold-78-997925@f1traffic.com,gold,1342,1879,2026-01-13,50000,true
LYL-00200079,CRM-00100079,rf1-w13-s23-vip-79-dd9bc0@f1traffic.com,vip,3336,4670,2025-09-02,999999,false
LYL-00200080,CRM-00100080,rf1-w4-s45-vip-80-cb662e@f1traffic.com,vip,10271,14379,2024-04-06,999999,true
LYL-00200081,CRM-00100081,rf1-w19-s13-vip-81-265666@f1traffic.com,vip,12223,17112,2025-11-26,999999,true
LYL-00200082,CRM-00100082,rf1-w11-s25-gold-82-36c740@f1traffic.com,gold,2608,3651,2024-08-01,50000,false
LYL-00200083,CRM-00100083,rf1-w6-s26-vip-83-cae64e@f1traffic.com,vip,4895,6853,2023-12-11,999999,true
LYL-00200084,CRM-00100084,rf1-w18-s14-standard-84-f889fd@f1traffic.com,standard,310,434,2024-03-27,5000,true
LYL-00200085,CRM-00100085,rf1-w6-s68-silver-85-7650bd@f1traffic.com,silver,517,724,2024-08-09,15000,true
LYL-00200086,CRM-00100086,rf1-w18-s2-silver-86-98be03@f1traffic.com,silver,393,550,2024-10-01,15000,true
LYL-00200087,CRM-00100087,rf1-w12-s45-vip-87-fb425c@f1traffic.com,vip,10755,15057,2024-04-23,999999,true
LYL-00200088,CRM-00100088,rf1-w5-s13-silver-88-718567@f1traffic.com,silver,1106,1548,2024-01-31,15000,false
LYL-00200089,CRM-00100089,rf1-w7-s58-vip-89-32362e@f1traffic.com,vip,8551,11971,2026-03-30,999999,true
LYL-00200090,CRM-00100090,rf1-w18-s25-standard-90-9e2cb8@f1traffic.com,standard,310,434,2025-07-01,5000,true
LYL-00200091,CRM-00100091,rf1-w4-s22-vip-91-5a6430@f1traffic.com,vip,5502,7703,2024-03-25,999999,true
LYL-00200092,CRM-00100092,rf1-w10-s5-silver-92-ba549a@f1traffic.com,silver,640,896,2025-09-25,15000,true
LYL-00200093,CRM-00100093,rf1-w3-s11-silver-93-a6ccb6@f1traffic.com,silver,571,799,2025-12-08,15000,true
LYL-00200094,CRM-00100094,rf1-w19-s28-silver-94-2f116a@f1traffic.com,silver,1014,1420,2025-11-08,15000,true
LYL-00200095,CRM-00100095,rf1-w0-s8-standard-95-aaddfc@f1traffic.com,standard,54,76,2026-04-18,5000,true
LYL-00200096,CRM-00100096,rf1-w16-s57-standard-96-bc5edd@f1traffic.com,standard,382,535,2025-03-01,5000,true
LYL-00200097,CRM-00100097,rf1-w19-s47-gold-97-08f6df@f1traffic.com,gold,3344,4682,2025-10-14,50000,true
LYL-00200098,CRM-00100098,rf1-w1-s11-standard-98-026fd1@f1traffic.com,standard,158,221,2024-04-28,5000,true
LYL-00200099,CRM-00100099,rf1-w2-s23-vip-99-03538d@f1traffic.com,vip,10528,14739,2024-11-13,999999,true
LYL-00200100,CRM-00100100,rf1-w9-s63-gold-100-e4bcfe@f1traffic.com,gold,1713,2398,2024-04-15,50000,true
LYL-00200101,CRM-00100101,rf1-w18-s21-silver-101-eb7b4b@f1traffic.com,silver,609,853,2025-06-11,15000,true
LYL-00200102,CRM-00100102,rf1-w1-s72-standard-102-82f182@f1traffic.com,standard,238,333,2023-11-15,5000,true
LYL-00200103,CRM-00100103,rf1-w17-s19-standard-103-5c06d1@f1traffic.com,standard,191,267,2024-09-02,5000,true
LYL-00200104,CRM-00100104,rf1-w3-s67-vip-104-199d0c@f1traffic.com,vip,5483,7676,2024-07-18,999999,true
LYL-00200105,CRM-00100105,rf1-w18-s22-gold-105-17c147@f1traffic.com,gold,3987,5582,2025-08-22,50000,true
LYL-00200106,CRM-00100106,rf1-w10-s48-gold-106-7a807f@f1traffic.com,gold,2072,2901,2024-07-29,50000,false
LYL-00200107,CRM-00100107,rf1-w18-s12-vip-107-c343b3@f1traffic.com,vip,8017,11224,2024-12-11,999999,true
LYL-00200108,CRM-00100108,rf1-w0-s43-gold-108-d1c3c2@f1traffic.com,gold,2091,2927,2024-10-30,50000,true
LYL-00200109,CRM-00100109,rf1-w0-s11-vip-109-dfd9bf@f1traffic.com,vip,9041,12657,2025-01-16,999999,true
LYL-00200110,CRM-00100110,rf1-w19-s30-silver-110-af003c@f1traffic.com,silver,463,648,2026-05-23,15000,true
LYL-00200111,CRM-00100111,rf1-w14-s13-standard-111-e7ed32@f1traffic.com,standard,207,290,2025-02-21,5000,true
LYL-00200112,CRM-00100112,rf1-w9-s71-standard-112-415b7d@f1traffic.com,standard,60,84,2025-03-21,5000,true
LYL-00200113,CRM-00100113,rf1-w16-s14-vip-113-8ec719@f1traffic.com,vip,6994,9792,2024-12-13,999999,true
LYL-00200114,CRM-00100114,rf1-w6-s12-silver-114-27539a@f1traffic.com,silver,751,1051,2024-12-18,15000,true
LYL-00200115,CRM-00100115,rf1-w4-s47-standard-115-a3b0e7@f1traffic.com,standard,302,423,2024-06-03,5000,true
LYL-00200116,CRM-00100116,rf1-w10-s39-silver-116-add6c7@f1traffic.com,silver,677,948,2025-05-18,15000,true
LYL-00200117,CRM-00100117,rf1-w3-s28-vip-117-9c7c7e@f1traffic.com,vip,10773,15082,2025-02-15,999999,true
LYL-00200118,CRM-00100118,rf1-w13-s10-standard-118-d3455f@f1traffic.com,standard,221,309,2025-09-03,5000,true
LYL-00200119,CRM-00100119,rf1-w15-s33-silver-119-5b367a@f1traffic.com,silver,476,666,2025-12-13,15000,true
LYL-00200120,CRM-00100120,abigail.leclerc120@f1retail.com,gold,1197,1676,2024-09-13,50000,true
LYL-00200121,CRM-00100121,pierre.suzuki121@f1retail.com,standard,171,239,2023-12-13,5000,true
LYL-00200122,CRM-00100122,mason.ocon122@f1retail.com,gold,1467,2054,2024-05-26,50000,true
LYL-00200123,CRM-00100123,amelia.garcia123@f1retail.com,gold,1919,2687,2026-02-14,50000,true
LYL-00200124,CRM-00100124,esteban.brown124@f1retail.com,silver,310,434,2026-06-01,15000,true
LYL-00200125,CRM-00100125,esteban.gasly125@f1retail.com,gold,2865,4011,2025-09-10,50000,false
LYL-00200126,CRM-00100126,max.thomas126@f1retail.com,gold,3979,5571,2025-11-06,50000,true
LYL-00200127,CRM-00100127,mia.tsunoda127@f1retail.com,gold,1259,1763,2025-09-05,50000,true
LYL-00200128,CRM-00100128,logan.ahmed128@f1retail.com,standard,116,162,2025-02-16,5000,true
LYL-00200129,CRM-00100129,hiroshi.williams129@f1retail.com,gold,1549,2169,2025-10-18,50000,true
LYL-00200130,CRM-00100130,michael.russell130@f1retail.com,standard,163,228,2025-03-31,5000,true
LYL-00200131,CRM-00100131,owen.ocon131@f1retail.com,standard,150,210,2026-01-23,5000,true
LYL-00200132,CRM-00100132,ava.li132@f1retail.com,standard,299,419,2026-02-23,5000,true
LYL-00200133,CRM-00100133,pierre.sainz133@f1retail.com,standard,53,74,2023-10-16,5000,true
LYL-00200134,CRM-00100134,maya.gasly134@f1retail.com,vip,3253,4554,2025-08-22,999999,true
LYL-00200135,CRM-00100135,ishaan.ahmed135@f1retail.com,vip,8929,12501,2025-05-22,999999,true
LYL-00200136,CRM-00100136,amelia.moore136@f1retail.com,silver,806,1128,2023-11-09,15000,true
LYL-00200137,CRM-00100137,maya.martinez137@f1retail.com,vip,11997,16796,2025-05-11,999999,true
LYL-00200138,CRM-00100138,lando.martinez138@f1retail.com,standard,379,531,2024-11-23,5000,true
LYL-00200139,CRM-00100139,diego.martinez139@f1retail.com,standard,208,291,2025-07-31,5000,true
LYL-00200140,CRM-00100140,maya.rodriguez140@f1retail.com,vip,11529,16141,2024-07-17,999999,true
LYL-00200141,CRM-00100141,max.tsunoda141@f1retail.com,vip,6422,8991,2025-04-06,999999,true
LYL-00200142,CRM-00100142,aria.anderson142@f1retail.com,vip,12289,17205,2025-04-06,999999,true
LYL-00200143,CRM-00100143,valtteri.suzuki143@f1retail.com,standard,363,508,2024-06-19,5000,true
LYL-00200144,CRM-00100144,ella.smith144@f1retail.com,standard,218,305,2024-05-29,5000,true
LYL-00200145,CRM-00100145,kai.suzuki145@f1retail.com,vip,9888,13843,2023-12-10,999999,true
LYL-00200146,CRM-00100146,noah.alonso146@f1retail.com,gold,3843,5380,2024-03-07,50000,true
LYL-00200147,CRM-00100147,james.wang147@f1retail.com,gold,1950,2730,2023-11-05,50000,true
LYL-00200148,CRM-00100148,yuki.reddy148@f1retail.com,gold,2562,3587,2025-07-22,50000,true
LYL-00200149,CRM-00100149,lance.ahmed149@f1retail.com,vip,4875,6825,2025-11-10,999999,true
LYL-00200150,CRM-00100150,mason.johnson150@f1retail.com,standard,381,533,2025-08-08,5000,true
LYL-00200151,CRM-00100151,diego.garcia151@f1retail.com,silver,429,601,2024-04-13,15000,true
LYL-00200152,CRM-00100152,harper.park152@f1retail.com,silver,1095,1533,2026-01-08,15000,false
LYL-00200153,CRM-00100153,abigail.wilson153@f1retail.com,vip,7574,10604,2024-02-18,999999,true
LYL-00200154,CRM-00100154,henry.zhang154@f1retail.com,vip,9928,13899,2024-04-10,999999,true
LYL-00200155,CRM-00100155,joseph.tanaka155@f1retail.com,silver,778,1089,2025-10-21,15000,true
LYL-00200156,CRM-00100156,diego.norris156@f1retail.com,vip,8853,12394,2025-09-13,999999,true
LYL-00200157,CRM-00100157,ella.piastri157@f1retail.com,standard,207,290,2024-09-07,5000,true
LYL-00200158,CRM-00100158,hassan.chen158@f1retail.com,standard,395,553,2023-12-29,5000,true
LYL-00200159,CRM-00100159,joseph.kim159@f1retail.com,silver,808,1131,2023-11-01,15000,true
LYL-00200160,CRM-00100160,hiroshi.kim160@f1retail.com,silver,679,951,2025-08-11,15000,true
LYL-00200161,CRM-00100161,joseph.iyer161@f1retail.com,standard,281,393,2025-09-01,5000,true
LYL-00200162,CRM-00100162,max.khan162@f1retail.com,standard,348,487,2025-08-25,5000,true
LYL-00200163,CRM-00100163,sergio.iyer163@f1retail.com,standard,308,431,2024-06-23,5000,true
LYL-00200164,CRM-00100164,lucas.russell164@f1retail.com,standard,82,115,2026-06-11,5000,true
LYL-00200165,CRM-00100165,owen.lee165@f1retail.com,silver,978,1369,2024-05-14,15000,true
LYL-00200166,CRM-00100166,khalid.patel166@f1retail.com,gold,3640,5096,2026-04-04,50000,true
LYL-00200167,CRM-00100167,charles.jones167@f1retail.com,silver,362,507,2025-05-23,15000,true
LYL-00200168,CRM-00100168,charles.perez168@f1retail.com,silver,649,909,2026-02-09,15000,true
LYL-00200169,CRM-00100169,ishaan.martinez169@f1retail.com,standard,279,391,2024-11-05,5000,true
LYL-00200170,CRM-00100170,alex.brown170@f1retail.com,standard,238,333,2026-03-15,5000,true
LYL-00200171,CRM-00100171,khalid.anderson171@f1retail.com,gold,2373,3322,2024-10-08,50000,true
LYL-00200172,CRM-00100172,oscar.khan172@f1retail.com,standard,93,130,2026-03-04,5000,true
LYL-00200173,CRM-00100173,henry.verstappen173@f1retail.com,vip,11650,16310,2024-11-13,999999,true
LYL-00200174,CRM-00100174,amelia.liu174@f1retail.com,silver,1148,1607,2025-02-25,15000,true
LYL-00200175,CRM-00100175,henry.hamilton175@f1retail.com,gold,2959,4143,2025-01-26,50000,true
LYL-00200176,CRM-00100176,henry.miller176@f1retail.com,standard,126,176,2025-09-13,5000,true
LYL-00200177,CRM-00100177,fernando.norris177@f1retail.com,gold,2563,3588,2024-10-27,50000,true
LYL-00200178,CRM-00100178,george.norris178@f1retail.com,vip,10188,14263,2023-09-28,999999,true
LYL-00200179,CRM-00100179,george.piastri179@f1retail.com,standard,180,252,2024-08-19,5000,true
LYL-00200180,CRM-00100180,lewis.alonso180@f1retail.com,gold,2517,3524,2026-01-22,50000,true
LYL-00200181,CRM-00100181,mia.russell181@f1retail.com,vip,3210,4494,2024-02-20,999999,true
LYL-00200182,CRM-00100182,ren.sainz182@f1retail.com,standard,398,557,2025-04-10,5000,true
LYL-00200183,CRM-00100183,sergio.chen183@f1retail.com,standard,230,322,2024-12-11,5000,true
LYL-00200184,CRM-00100184,ishaan.ocon184@f1retail.com,vip,5252,7353,2025-11-08,999999,true
LYL-00200185,CRM-00100185,samuel.taylor185@f1retail.com,gold,1492,2089,2025-10-19,50000,true
LYL-00200186,CRM-00100186,sergio.johnson186@f1retail.com,gold,2036,2850,2024-04-22,50000,true
LYL-00200187,CRM-00100187,arjun.rodriguez187@f1retail.com,gold,2633,3686,2024-09-19,50000,true
LYL-00200188,CRM-00100188,joseph.chen188@f1retail.com,standard,359,503,2024-07-23,5000,true
LYL-00200189,CRM-00100189,arjun.iyer189@f1retail.com,gold,2663,3728,2026-06-12,50000,true
LYL-00200190,CRM-00100190,evelyn.sharma190@f1retail.com,gold,1297,1816,2025-01-23,50000,false
LYL-00200191,CRM-00100191,mason.ahmed191@f1retail.com,gold,2504,3506,2025-12-29,50000,true
LYL-00200192,CRM-00100192,valtteri.brown192@f1retail.com,gold,2153,3014,2023-09-24,50000,true
LYL-00200193,CRM-00100193,kai.iyer193@f1retail.com,vip,7174,10044,2024-06-09,999999,true
LYL-00200194,CRM-00100194,ava.hamilton194@f1retail.com,standard,359,503,2025-06-11,5000,true
LYL-00200195,CRM-00100195,ethan.ahmed195@f1retail.com,standard,242,339,2024-10-13,5000,true
LYL-00200196,CRM-00100196,maya.ahmed196@f1retail.com,gold,2329,3261,2025-07-09,50000,true
LYL-00200197,CRM-00100197,carlos.russell197@f1retail.com,silver,696,974,2025-04-29,15000,true
LYL-00200198,CRM-00100198,amelia.ahmed198@f1retail.com,silver,1189,1665,2026-02-04,15000,false
LYL-00200199,CRM-00100199,kai.norris199@f1retail.com,silver,513,718,2025-08-04,15000,false
