customerId,email,emailHashedSHA256,firstName,lastName,dateOfBirth,phone,country,city,addressLine1,postalCode,customerTier,lifetimeValue,favoriteTeam,registrationDate,lastActivityDate,marketingConsent,emailOptIn,smsOptIn
CRM-00100010,rf1-w10-s63-vip-10-22690e@f1traffic.com,500299ea81d4d2319e72b4aaa99dd28e387007cf3f10f281f03a50844a12a9ff,Kai,Miller,1976-11-07,+1-555-9252624,MC,Milan,979 Racing Lane,79103,vip,22273.07,Williams,2024-08-03,2026-03-08,true,true,true
CRM-00100011,rf1-w2-s67-vip-11-052b3f@f1traffic.com,fc795fe7a97b7f60ebbb0c3c808435b31c3a84e837efa1496ff285463fc35a36,Mateo,Suzuki,2005-11-14,+1-555-4114766,SG,London,8865 Racing Lane,51696,vip,18764.4,Williams,2024-12-26,2025-12-28,true,true,true
CRM-00100012,rf1-w5-s41-standard-12-e4d916@f1traffic.com,f0127ed1a1b8e8c850909f1fec66827fe54c4708925211786e1d39ce07d3d9f7,Sergio,Wilson,1996-01-23,+1-555-9860447,MC,New York,8926 Racing Lane,44208,standard,463.52,Aston Martin,2026-01-22,2026-03-07,false,true,false
CRM-00100013,rf1-w15-s5-gold-13-bd6938@f1traffic.com,c80128d983c1b8a27a76e77938a6bd6eac55d2d58f839d998d1db388e4c077fc,Harper,Chen,1976-08-16,+1-555-2021152,DE,New York,9069 Racing Lane,42814,gold,4704.63,McLaren,2024-12-14,2026-03-17,false,false,true
CRM-00100014,rf1-w14-s25-vip-14-3b21c0@f1traffic.com,e9db599fd47a57b4f22484900df2effa3955fde37a721a732b934fd45bb49513,Owen,Miller,2004-03-16,+1-555-9861775,ES,Mumbai,5462 Racing Lane,22016,vip,14477.62,Aston Martin,2025-10-07,2026-04-03,false,false,true
CRM-00100015,rf1-w14-s47-standard-15-be8801@f1traffic.com,34a4305d7ab0aaa05616033289056c7090bdf5ba39d9804edc74454b5defab51,Lance,Taylor,1981-07-22,+1-555-3467950,BR,London,9917 Racing Lane,98849,standard,582.19,Red Bull Racing,2025-05-07,2026-05-29,false,true,true
CRM-00100016,rf1-w14-s58-standard-16-73fdf7@f1traffic.com,1f1c1217e2af94b669814223426dcedb3fe139ace39c4c3a4b09ceebb3103465,Nico,Piastri,1999-05-20,+1-555-7145214,DE,Paris,4590 Racing Lane,79591,standard,514.56,Alpine,2024-06-23,2025-12-28,true,true,false
CRM-00100017,rf1-w4-s7-silver-17-4c33cf@f1traffic.com,2ae14b09d6b565961597ff0d0294c0247caced7780d7fab35aa729fa1102773e,Diego,Gasly,1974-06-18,+1-555-5136303,SG,Paris,1006 Racing Lane,24671,silver,668.95,Williams,2024-10-19,2026-04-29,false,true,true
CRM-00100018,rf1-w18-s57-gold-18-def170@f1traffic.com,a0d32a89c2fa44a747cbbfa01314fa8a2ddfef54632f82e754b6a59d5a7d80c1,Aria,Norris,1975-07-01,+1-555-6291682,AU,London,136 Racing Lane,38181,gold,2755.98,Aston Martin,2025-10-13,2026-02-24,true,false,true
CRM-00100019,rf1-w9-s69-gold-19-25aaf6@f1traffic.com,d17a9da1902fa89b003c222649a82790255fbac9ecbbbb5a6419f5d775a0be9d,Lucas,Thomas,1994-11-04,+1-555-7031879,FR,Paris,8615 Racing Lane,21281,gold,3240.24,Aston Martin,2024-08-29,2025-12-21,true,false,true
CRM-00100020,rf1-w1-s48-vip-20-0e5946@f1traffic.com,36c7d03908735ab229beb9ff10125d6c540f923696424bc3e0dcac8a20a3fef7,Lando,Singh,1999-02-25,+1-555-2511967,AE,Mumbai,9076 Racing Lane,71732,vip,16848.83,Ferrari,2023-10-28,2025-12-30,true,false,true
CRM-00100021,rf1-w11-s47-silver-21-510a26@f1traffic.com,ab9553433b08fb1b638323c702f1d67c2fb4d632d9ed72d7e4e0437eb410661f,Fernando,Garcia,1973-08-17,+1-555-4968971,MC,New York,4882 Racing Lane,94475,silver,1470.12,McLaren,2023-10-13,2026-03-14,true,true,true
CRM-00100022,rf1-w4-s66-silver-22-32115a@f1traffic.com,911b0d7c7efcf36bef1f0a61235e61d1770b94703167b4f33621dc54fdb109fa,Olivia,Zhang,1967-09-13,+1-555-5148867,AE,New York,2083 Racing Lane,84232,silver,1810.83,Alpine,2025-03-06,2026-02-18,true,true,true
CRM-00100023,rf1-w15-s49-gold-23-475cfc@f1traffic.com,0f7bc86481d2324fd581cd491ed149aef92984a34169d40b124877b235a2d3da,Maya,Anderson,1961-12-07,+1-555-7029867,DE,Tokyo,7965 Racing Lane,98582,gold,7211.78,Williams,2025-04-04,2026-05-31,true,true,false
CRM-00100024,rf1-w14-s70-gold-24-26a904@f1traffic.com,9c481b8c969165469e56c13e23447c4fe0b57dabb489b39fc342115505e046cd,Hiroshi,Thomas,1995-11-16,+1-555-8898965,TH,Paris,215 Racing Lane,94656,gold,4593.11,Alpine,2025-10-28,2026-02-25,true,true,false
CRM-00100025,rf1-w2-s26-standard-25-6e0414@f1traffic.com,524f998db7d69ce7a31b2f0820b5aa468f67a5d5a5ac9d416694a9fa8b9e820f,Ella,Suzuki,2001-08-25,+1-555-8555589,SG,Mumbai,7483 Racing Lane,17860,standard,469.07,Red Bull Racing,2025-04-01,2026-01-21,true,true,false
CRM-00100026,rf1-w3-s41-standard-26-4c0321@f1traffic.com,a0b13c8dc78f738fe21c63831c8c9e7bdbee52b1f6096ef1109beaf06d3ab057,Hiroshi,Rodriguez,1974-10-13,+1-555-6129050,TH,Paris,9608 Racing Lane,48749,standard,442.76,Mercedes,2024-04-21,2025-12-19,true,true,true
CRM-00100027,rf1-w17-s34-silver-27-7f7b09@f1traffic.com,4646db2600bb280d4e57500483f2635517cf0fc8409e7b7b239931de2ebecf16,Mason,Tanaka,1984-06-12,+1-555-3205604,US,Milan,7026 Racing Lane,35777,silver,1674.1,Aston Martin,2023-10-08,2026-04-27,true,true,false
CRM-00100028,rf1-w9-s30-gold-28-48f50b@f1traffic.com,ff37bfd2b93de37ea44d4afad9ace2af6b5f710c4953449dd14440f49bc74282,Hiroshi,Miller,1970-02-18,+1-555-2915365,SG,Tokyo,2765 Racing Lane,48843,gold,4016.68,McLaren,2023-12-19,2026-04-26,true,true,false
CRM-00100029,rf1-w2-s26-gold-29-cee7a2@f1traffic.com,4522632c03c061167a565ac966a102ed292059182dc92ac42081fc4e687ec551,Hassan,Leclerc,1963-05-08,+1-555-2423332,ES,New York,5223 Racing Lane,53949,gold,6823.16,McLaren,2024-11-01,2026-02-23,true,true,true
CRM-00100030,rf1-w5-s46-vip-30-4d913e@f1traffic.com,1d988b2cf0b63a72fb5052dc9d683bb74836dde7d4841a314eb3662f575cb5c4,Liam,Taylor,2004-03-26,+1-555-3470523,FR,New York,9057 Racing Lane,66237,vip,11775.1,McLaren,2025-03-26,2026-05-08,true,true,false
CRM-00100031,rf1-w14-s56-standard-31-b9eb16@f1traffic.com,6acf5abeb04c85f7d9ddbc482411e0596bea251491f02351e1dfc6b2c4081c29,Harper,Jones,1999-02-10,+1-555-9167866,IN,London,6730 Racing Lane,64076,standard,632.55,Red Bull Racing,2024-07-31,2026-06-13,true,true,true
CRM-00100032,rf1-w6-s65-silver-32-1f3c76@f1traffic.com,0ac97d4ac5baf7561da29c25bf8bd9d54e3bda09cbc93be0c04d091c8124e9ae,Charlotte,Norris,2000-02-10,+1-555-4555251,CA,Tokyo,2089 Racing Lane,67898,silver,2057.49,Ferrari,2026-03-19,2026-04-26,true,true,true
CRM-00100033,rf1-w0-s73-gold-33-e7eee4@f1traffic.com,f4cba1e94d7c0dfe446f88f47fcfb31bd90fc9f2536f521944ad7e95fd8d89c3,William,Park,2005-08-15,+1-555-7624295,GB,Tokyo,1366 Racing Lane,61905,gold,6316.85,Williams,2025-11-08,2026-01-03,true,true,false
CRM-00100034,rf1-w15-s20-silver-34-6a6e9e@f1traffic.com,922dde04b4f286a03675e69a40edb644e23c7fc0792872576d0c3d3f2cac1041,Chloe,Smith,1974-09-11,+1-555-7849378,BR,Milan,3197 Racing Lane,36676,silver,1454.02,Mercedes,2025-11-30,2026-05-27,true,true,true
CRM-00100035,rf1-w15-s49-standard-35-6d7f02@f1traffic.com,ad8129cc4c67e09251a602e496b003d1fc4afb4051ccfc7120e19020efcfa031,Khalid,Kumar,1964-07-07,+1-555-5684658,NL,Tokyo,2233 Racing Lane,82620,standard,327.18,McLaren,2023-11-25,2026-01-13,true,false,false
CRM-00100036,rf1-w14-s24-silver-36-9db543@f1traffic.com,bca8176ac3dcd2f1f4429fc44f8774f103084295f80f50e4744821a0095de978,Logan,Moore,1963-02-17,+1-555-8961566,BR,London,9270 Racing Lane,98989,silver,1329.71,Ferrari,2025-03-06,2026-04-21,true,false,true
CRM-00100037,rf1-w9-s46-gold-37-bebd38@f1traffic.com,d9cc608b2dca4c58cafed2ab85e9bb805ad94eeaae5eae8a9b4454ba73f16780,James,Taylor,1961-07-13,+1-555-2621890,GB,Mumbai,395 Racing Lane,83343,gold,5698.49,Williams,2025-05-24,2026-05-31,true,true,false
CRM-00100038,rf1-w12-s69-silver-38-ad654a@f1traffic.com,c88f9f22c6008b22cd3d888cd14c80aa93e21cc81388c7154f337401d1db4420,Evelyn,Khan,1975-08-10,+1-555-7388170,SG,Mumbai,684 Racing Lane,13187,silver,944.53,McLaren,2024-01-28,2026-02-16,true,true,false
CRM-00100039,rf1-w12-s15-standard-39-32de87@f1traffic.com,15bba3278ed483f3b33761ae9ae598e5582becaf0d88a8e57ba6bb559e8cef9d,Lucas,Ocon,1989-05-14,+1-555-3399578,AE,Tokyo,4783 Racing Lane,12034,standard,363.05,McLaren,2026-03-04,2026-04-19,false,true,false
CRM-00100040,rf1-w10-s15-standard-40-326b80@f1traffic.com,3c1a31d7a6a5d3b04cf27734f670cc349fa05bd461833d842e5ce2e7e492bf28,Michael,Moore,1965-08-17,+1-555-3358243,SG,New York,7705 Racing Lane,16095,standard,796.8,Alpine,2024-10-13,2025-12-25,false,false,true
CRM-00100041,rf1-w14-s58-standard-41-f4ae98@f1traffic.com,69e879db0b4e74e3d176a85233ad084223b4e4a31b46a98e0782436c09a6424a,Esteban,Liu,1997-03-16,+1-555-5563448,MC,Tokyo,4446 Racing Lane,82660,standard,270.12,McLaren,2025-07-18,2026-05-17,true,false,true
CRM-00100042,rf1-w19-s10-silver-42-368e09@f1traffic.com,081e8297a2ef96acd54bf6eaf5093f7746fd889fa7285306be23437ff9e9fdff,Valtteri,Chen,1973-11-08,+1-555-6195893,NL,New York,154 Racing Lane,46378,silver,2436.77,Alpine,2024-05-05,2026-04-14,true,true,false
CRM-00100043,rf1-w7-s38-silver-43-80afeb@f1traffic.com,afb6ba0dc47db65f80547ebec8bc97256d6ce0306cb8af1f680d2f27f0444fbe,Oscar,Wilson,1989-09-14,+1-555-2025031,GB,Milan,7486 Racing Lane,49752,silver,599.75,Aston Martin,2025-12-28,2025-12-18,true,true,false
CRM-00100044,rf1-w2-s26-vip-44-1ac3b8@f1traffic.com,ea571da701e595868d2b7416597154e26cdf3e7731485d3e56df3ca5885e392c,Khalid,Sharma,1987-10-03,+1-555-9846186,GB,New York,9092 Racing Lane,46012,vip,11297.62,Mercedes,2025-08-23,2026-06-05,true,true,false
CRM-00100045,rf1-w1-s11-silver-45-ece989@f1traffic.com,adbb0d06f49c4fa2b797d0bef5c1d69a9b0b919b9342ece1dda71c80c47556b7,Carlos,Singh,1974-03-03,+1-555-3752442,ES,Tokyo,1197 Racing Lane,23809,silver,974.55,Ferrari,2025-08-24,2026-03-23,false,true,false
CRM-00100046,rf1-w19-s40-gold-46-6698bf@f1traffic.com,7da2f7a9e646e7ee81d428ac14f2547aa6dbe01b9a9af7d6befeeb2f07fb9abe,Khalid,Taylor,1971-07-14,+1-555-1372325,NL,New York,779 Racing Lane,78216,gold,4914.19,Aston Martin,2025-04-26,2026-01-05,true,true,false
CRM-00100047,rf1-w0-s20-standard-47-ac90b5@f1traffic.com,dca874ce375a77ba97a60a3cafc9d95ba6017d88acb4b011a13009dbf7d8bfd7,Lance,Reddy,1990-02-18,+1-555-4719674,MC,Paris,6790 Racing Lane,98661,standard,184.87,Williams,2025-03-22,2026-05-23,true,true,true
CRM-00100048,rf1-w11-s30-vip-48-fb8aa3@f1traffic.com,2153a30c712481cfd40538b16a4c59204f894e84cfe27ff1c8774ce9b30551a6,Fernando,Lee,1990-07-03,+1-555-2526649,IT,Tokyo,6795 Racing Lane,11432,vip,10595.93,McLaren,2024-04-13,2026-03-05,true,true,false
CRM-00100049,rf1-w13-s3-vip-49-5dbdf5@f1traffic.com,9314cd8056abcca9b70f10b93fe0d7039545ebb3e5221d526cf84ff55141baa0,Samuel,Li,1983-02-08,+1-555-2283359,IN,Paris,2541 Racing Lane,78108,vip,24970.73,Williams,2024-11-04,2026-06-11,true,true,true
CRM-00100050,rf1-w0-s13-silver-50-bd1a6d@f1traffic.com,548f8721c6130ecd5971434bd7c53bc2034880626a439b8c8d7a87d17214a5cf,Ren,Zhang,1987-05-10,+1-555-3633233,GB,Paris,7801 Racing Lane,23241,silver,1448.34,Mercedes,2026-05-20,2026-06-04,false,true,false
CRM-00100051,rf1-w2-s55-standard-51-15c6d7@f1traffic.com,fa0f233c49c1f161e86ba85d17bdf71d5a3bd46f64339a8c4ea94437988ce615,Krishna,Wilson,1976-02-23,+1-555-1627495,BR,Tokyo,22 Racing Lane,33147,standard,505.03,Williams,2025-06-12,2026-02-22,true,false,true
CRM-00100052,rf1-w2-s42-gold-52-4321fa@f1traffic.com,2063a30cf16191e8c93e4c3bbaabf42ad95bf17cfd5cd306c916ef253c1bb69a,Ren,Anderson,1993-02-13,+1-555-3659467,AU,Milan,2766 Racing Lane,56709,gold,3628.93,Mercedes,2025-07-22,2026-05-16,true,true,false
CRM-00100053,rf1-w6-s13-silver-53-805afa@f1traffic.com,e8a6226113993106606eb09f7d254eb683903dc49b6d747bede71483ab47b994,Lance,Smith,1998-12-08,+1-555-2702540,BR,Tokyo,5725 Racing Lane,23032,silver,532.52,Aston Martin,2024-07-20,2025-12-23,true,true,false
CRM-00100054,rf1-w15-s22-gold-54-8554a8@f1traffic.com,a04536b6873e4211a3b967bf9561d95bb6a8e120b8a789affc0f86be337d2096,Diego,Suzuki,1968-05-19,+1-555-9580409,BR,New York,4701 Racing Lane,55398,gold,3972.91,Ferrari,2025-02-23,2026-03-01,false,false,false
CRM-00100055,rf1-w19-s19-standard-55-f7464e@f1traffic.com,b75f4daa890a456ed9f1a14368abb5d9fc895ef06d724879e6d6e480db060a6b,Lando,Wang,2002-04-13,+1-555-6085897,BR,New York,3782 Racing Lane,39415,standard,630.05,Williams,2025-12-03,2026-04-11,true,false,true
CRM-00100056,rf1-w14-s7-gold-56-fd5649@f1traffic.com,359b20d43b3c9a545de0083e80c262d21e20e9932d9e094f481764916d2fed83,Pierre,Wilson,1996-02-07,+1-555-4094865,IT,Tokyo,710 Racing Lane,43924,gold,3371.68,McLaren,2024-06-24,2026-06-08,true,true,true
CRM-00100057,rf1-w4-s12-standard-57-ac71d4@f1traffic.com,b8c9a1f8d31e228efbf845f51929a3bfd3a2e8012c2b89bec4b5e8317759d274,Pierre,Li,1996-10-29,+1-555-4264489,ES,Tokyo,2873 Racing Lane,64507,standard,567.53,Alpine,2023-10-19,2025-12-25,true,true,false
CRM-00100058,rf1-w1-s65-gold-58-0feb4a@f1traffic.com,70e1fe9a1ddfcb3332ef627912c6fc1ccc6d62e6acb025f847eddd4770852453,Ren,Alonso,1981-12-24,+1-555-3161148,JP,Milan,3977 Racing Lane,48081,gold,6389.42,Williams,2025-04-06,2026-05-10,true,false,false
CRM-00100059,rf1-w15-s54-vip-59-180e39@f1traffic.com,0a512603060532b3f8543fd6e63635ab9d9adcaee9d09c894d417eb141091ed8,George,Wilson,2003-11-07,+1-555-1756413,IN,Mumbai,6509 Racing Lane,72306,vip,14176.39,Ferrari,2024-08-09,2026-03-26,true,false,false
CRM-00100060,rf1-w8-s69-silver-60-eac0e4@f1traffic.com,fee76d34a5e6e75f63e6581a87d1e7945985fbd6b405081edc317beab9f2bd38,Logan,Ahmed,1982-08-28,+1-555-1581950,DE,London,2628 Racing Lane,63940,silver,2103.04,Aston Martin,2026-05-29,2026-04-20,false,true,true
CRM-00100061,rf1-w6-s67-silver-61-c47d4b@f1traffic.com,d201c252d7d4449e63f4ba18242407358fc9fd7ed7c3fccbf390ac7406be4299,Aditya,Gasly,1998-07-14,+1-555-8929968,DE,Tokyo,9013 Racing Lane,54065,silver,1688.29,Alpine,2024-12-06,2026-04-02,true,true,false
CRM-00100062,rf1-w3-s44-gold-62-8061b4@f1traffic.com,dc24e5309b92875dce09ecdb2ff4b3417234461fc78bf47d7916497f527bf1d9,Abigail,Chen,1985-07-08,+1-555-5238170,GB,Mumbai,8490 Racing Lane,84650,gold,4115.77,Ferrari,2024-10-06,2026-04-08,true,true,true
CRM-00100063,rf1-w1-s62-gold-63-6d409d@f1traffic.com,4a0a4c650c7088e220c471cea94e09a1f5896b2bedb3c2fd972170bff249a672,Kai,Sharma,1974-09-25,+1-555-7995832,NL,Mumbai,1935 Racing Lane,59026,gold,7856.79,Aston Martin,2025-01-11,2026-01-24,true,true,true
CRM-00100064,rf1-w2-s18-standard-64-c662a5@f1traffic.com,7d587b9b431a96e7153bcb885b96edf65b66f6992c0076cee38aae68b56782d3,Evelyn,Wang,1996-09-26,+1-555-9714859,JP,Paris,6278 Racing Lane,11871,standard,626.89,Red Bull Racing,2024-06-10,2026-01-21,true,true,true
CRM-00100065,rf1-w13-s17-standard-65-2ce5e5@f1traffic.com,a95d505cf1ec5e766b4c0fc160edee958fdc256efaed4ddcbf6cd2fe16db8b3d,Sophia,Reddy,1966-04-26,+1-555-6277283,US,London,29 Racing Lane,93596,standard,594.6,Ferrari,2025-03-08,2026-05-19,false,false,false
CRM-00100066,rf1-w7-s24-gold-66-a3f77d@f1traffic.com,1e00ce0834d24ad6dfcd29ed216cec4e01804c1a67a6559c8485f421ad235313,Ishaan,Anderson,1971-06-09,+1-555-7740991,BR,Paris,6585 Racing Lane,62146,gold,7338.96,Red Bull Racing,2025-09-23,2026-01-25,true,true,true
CRM-00100067,rf1-w6-s48-silver-67-364c6b@f1traffic.com,44bfd65e0d3d529e7e80be5307fc3f6a63b0e7e817ae7d0ee53429b162ea5cbf,Yuki,Khan,1965-04-20,+1-555-6414578,US,Tokyo,85 Racing Lane,34470,silver,957.55,Alpine,2025-08-16,2026-04-04,true,true,true
CRM-00100068,rf1-w19-s17-gold-68-c900e8@f1traffic.com,f35f7e1672f47787009a0a446f05bbae7c1084dd6e9a2ef327cb623852e33b7c,Logan,Liu,1965-12-14,+1-555-3735660,IT,London,8535 Racing Lane,38712,gold,7544.72,Aston Martin,2024-11-15,2026-03-27,true,true,true
CRM-00100069,rf1-w6-s52-gold-69-0b548d@f1traffic.com,f836700049efcf6b4d58b5388b0316420cffe60fb02f2065e17bd5a25d507a30,Abigail,Tsunoda,1967-09-11,+1-555-5993359,IT,Tokyo,7404 Racing Lane,38762,gold,4146.56,Alpine,2023-12-08,2026-01-09,true,false,true
CRM-00100070,rf1-w8-s31-gold-70-2f93f7@f1traffic.com,7f4e9d7403f737a360df8affd2ea528d081776ecab00fcf9106c2ee957892ed7,Olivia,Martinez,1985-06-29,+1-555-4444400,US,Paris,6720 Racing Lane,70364,gold,6830.14,Mercedes,2024-01-30,2026-05-24,true,true,true
CRM-00100071,rf1-w1-s27-silver-71-c3fcc1@f1traffic.com,305ddf4c44912e8c2621267d0325dc7148883ad9251eb931b66c373fa5ab40e6,Fernando,Rodriguez,1981-11-14,+1-555-5125497,SG,Mumbai,9713 Racing Lane,10603,silver,1601.33,Alpine,2024-12-28,2025-12-21,true,false,false
CRM-00100072,rf1-w18-s24-vip-72-fa77ab@f1traffic.com,c6516d9138ed69594cf16abee83996c4897781087e5c57800b06ccc5ead3e88d,Emma,Ahmed,1972-05-13,+1-555-8022515,JP,Milan,5227 Racing Lane,10550,vip,22140.46,Ferrari,2025-04-05,2026-01-07,true,false,false
CRM-00100073,rf1-w4-s32-gold-73-785d75@f1traffic.com,3f17cc2c244dfe002445bd10e65ec586778c0c369177c7123f9c810b3ed3e87a,George,Suzuki,1993-12-19,+1-555-8283190,GB,Milan,7467 Racing Lane,54281,gold,6763.34,Williams,2024-01-30,2026-01-07,true,true,false
CRM-00100074,rf1-w11-s10-gold-74-70d543@f1traffic.com,1d984cbcad5b7308c15798f42d963089674e0bf46ef4763edcf36df4bb718a46,Vivaan,Kumar,1997-03-09,+1-555-6063680,AE,New York,4692 Racing Lane,64564,gold,6878.89,Alpine,2025-04-23,2026-01-03,true,true,true
CRM-00100075,rf1-w17-s42-silver-75-7d189b@f1traffic.com,21d52487fe525f966d94f83b5ce2ca97b21c7f090a0e14e6c04c7357e3bdc808,Abigail,Tanaka,1975-06-13,+1-555-1937679,DE,Paris,1668 Racing Lane,17078,silver,1112.25,Alpine,2024-01-27,2026-01-26,true,false,true
CRM-00100076,rf1-w0-s2-silver-76-7d9e27@f1traffic.com,ae325894276f4bfe25d5e616543fd47e8beb5abec97cf9386e1d8a1d4fe68e01,George,Suzuki,1984-10-03,+1-555-6437790,CA,New York,7468 Racing Lane,83974,silver,1033.98,Mercedes,2026-05-11,2026-03-21,true,false,false
CRM-00100077,rf1-w6-s31-standard-77-d6d460@f1traffic.com,985eaea99a1fb9130e86c18eb6f4a327b925ce2dfa112be397af9b0b209ec5b7,Charles,Suzuki,1967-11-27,+1-555-5593829,DE,Paris,6743 Racing Lane,55848,standard,648.25,Alpine,2024-07-30,2025-12-28,true,false,false
CRM-00100078,rf1-w1-s55-gold-78-997925@f1traffic.com,37feb12cd3696d1524828b977b63802a8b5caa8d57de9efa685d4f2358a15d9b,Omar,Wilson,1978-11-04,+1-555-6424879,ES,New York,3441 Racing Lane,79625,gold,2683.88,McLaren,2026-01-13,2025-12-26,true,true,true
CRM-00100079,rf1-w13-s23-vip-79-dd9bc0@f1traffic.com,9def803099603a6e8ca640babad8277bfff405554d4e261361877412bba483fc,David,Iyer,1995-07-14,+1-555-9595407,TH,Paris,5102 Racing Lane,70262,vip,6672.22,McLaren,2025-09-02,2026-01-17,true,true,false
CRM-00100080,rf1-w4-s45-vip-80-cb662e@f1traffic.com,c79285d4a6f6d433c5da03d93f5c49267c4551130b809aed904e217464959f88,Joseph,Khan,1981-04-10,+1-555-7811407,US,Tokyo,3223 Racing Lane,72446,vip,20541.29,Red Bull Racing,2024-04-06,2026-04-21,false,true,false
CRM-00100081,rf1-w19-s13-vip-81-265666@f1traffic.com,6565af79ae450a7870e005a5b244fd30e3e7f7e11846d0a83903ce853fbc2c07,Chloe,Williams,1987-10-13,+1-555-2942879,AU,London,6123 Racing Lane,65410,vip,24445.35,Alpine,2025-11-26,2025-12-30,true,true,true
CRM-00100082,rf1-w11-s25-gold-82-36c740@f1traffic.com,11d0d8feacb0dbd069d4f2bb1c7d01c150b52b8bc540080570dd4510dcd5c4a5,Henry,Martinez,1992-02-20,+1-555-5035428,JP,Tokyo,6961 Racing Lane,57069,gold,5216.16,Alpine,2024-08-01,2025-12-19,false,true,false
CRM-00100083,rf1-w6-s26-vip-83-cae64e@f1traffic.com,6464922043ed6166361192256cae39e98540d2af04e370e9785b4a4eb6a365de,Mateo,Davis,1972-06-29,+1-555-6255981,CA,London,922 Racing Lane,66555,vip,9789.95,Williams,2023-12-11,2026-02-08,true,false,false
CRM-00100084,rf1-w18-s14-standard-84-f889fd@f1traffic.com,1ba651164559a986d0403617fda2248c2689566f9953ec2de2941364743384c2,Hassan,Chen,1969-03-19,+1-555-3208094,BR,London,5851 Racing Lane,76746,standard,620.37,Mercedes,2024-03-27,2026-01-11,false,true,true
CRM-00100085,rf1-w6-s68-silver-85-7650bd@f1traffic.com,95b9db2adc513a743aead4c5bcb43c4d48106ad20c423022241202b295e1fdbc,Lando,Hamilton,2004-06-29,+1-555-2714220,CA,Mumbai,8883 Racing Lane,30219,silver,1033.47,Aston Martin,2024-08-09,2026-01-13,true,true,true
CRM-00100086,rf1-w18-s2-silver-86-98be03@f1traffic.com,27ccc749c1880e4f7c573b696a822b6865812d25945ce562ef13c9c4ed6ee898,Owen,Smith,1968-10-30,+1-555-5581608,TH,London,634 Racing Lane,89770,silver,785.08,Red Bull Racing,2024-10-01,2026-02-11,false,true,false
